,location,total_sqft,bath,price,bhk,encoded_loc
129,Kalena Agrahara,1200.0,2,50.0,2,125
130,Thanisandra,1735.0,3,135.0,3,218
131,Thanisandra,2050.0,3,145.0,3,218
132,others,1350.0,2,48.0,3,240
133,Hosa Road,1063.0,2,32.0,2,104
134,others,1904.0,3,150.0,3,240
135,others,1425.0,2,75.0,3,240
136,Electronic City,1500.0,2,64.5,3,77
137,Electronic City,1060.0,2,60.0,2,77
138,others,1470.0,2,70.0,3,240
139,Electronic City,1152.0,2,64.5,2,77
140,Electronic City,1350.0,2,56.0,3,77
141,CV Raman Nagar,1550.0,3,65.0,3,56
142,others,1500.0,3,100.0,3,240
143,Nagavara,400.0,1,14.0,1,176
144,Electronic City,770.0,1,36.0,2,77
145,Hulimavu,1242.0,2,51.0,2,108
146,Thanisandra,2144.0,3,145.0,3,218
147,Vijayanagar,1704.0,3,110.0,3,230
148,Electronic City,1070.0,2,52.0,2,77
149,others,1340.0,2,55.7,2,240
150,Electronic City,1025.0,2,46.0,2,77
151,KR Puram,1785.0,2,56.8,2,119
152,Marathahalli,1200.0,2,52.0,2,165
153,Kanakpura Road,2250.0,4,110.0,4,131
154,Pattandur Agrahara,1550.0,2,80.0,3,188
155,Marathahalli,1200.0,2,60.0,2,165
156,Yelahanka,1327.0,2,98.0,2,236
157,Kothanur,1186.0,2,58.0,2,150
158,others,1783.0,3,115.0,3,240
159,HSR Layout,1400.0,3,56.0,3,92
160,Nagasandra,980.0,2,48.0,2,175
161,EPIP Zone,1285.0,2,82.0,2,76
162,others,912.0,2,70.0,3,240
163,Whitefield,1225.0,2,47.6,2,234
164,Whitefield,1075.0,2,53.0,2,234
165,Kadugodi,1260.0,2,54.0,3,121
166,Yelahanka,1282.0,2,48.7,3,236
167,Kogilu,1909.0,3,88.0,3,146
168,Panathur,1359.0,2,87.0,2,186
169,others,1207.0,2,43.5,2,240
170,Kammasandra,1595.0,3,65.0,3,129
171,others,1798.0,3,89.0,3,240
172,Electronics City Phase 1,1475.0,3,78.29,3,79
173,others,1580.0,3,100.0,3,240
174,Dasarahalli,1295.0,2,65.0,2,67
175,Magadi Road,3600.0,6,141.0,6,159
176,Electronic City,589.0,1,27.0,1,77
177,others,1415.0,3,78.0,3,240
178,Sarjapur  Road,1787.0,3,98.29,3,203
179,Sarjapur  Road,1787.0,3,125.0,3,203
180,Koramangala,1475.0,2,90.0,3,148
181,others,2000.0,4,75.5,4,240
182,Sarjapur  Road,984.0,2,44.28,2,203
183,Devanahalli,2390.0,2,74.82,3,68
184,7th Phase JP Nagar,1080.0,2,72.0,2,7
185,others,1500.0,2,115.0,2,240
186,Hebbal,1900.0,3,119.0,3,95
187,Budigere,1153.0,2,56.4,2,55
188,others,1148.0,2,60.0,2,240
189,others,1110.0,2,55.0,2,240
190,Electronic City,1100.0,2,42.0,2,77
191,others,1500.0,2,65.0,3,240
192,others,1080.0,2,39.0,2,240
193,Vijayanagar,1933.0,3,129.0,3,230
194,Ramamurthy Nagar,3500.0,5,150.0,5,197
195,others,1060.0,2,60.0,2,240
196,others,2600.0,8,180.0,8,240
197,others,1644.0,3,84.0,3,240
198,others,1285.0,2,72.5,2,240
199,Electronic City,1200.0,3,90.0,3,77
200,Electronic City,910.0,2,40.0,2,77
201,Kothanur,1577.0,3,70.0,3,150
202,others,4050.0,3,280.0,3,240
203,OMBR Layout,2420.0,3,185.0,3,181
204,others,1060.0,2,55.0,2,240
205,7th Phase JP Nagar,1270.0,2,93.0,2,7
206,others,1280.0,2,69.0,2,240
207,Horamavu Agara,1200.0,2,95.0,4,101
208,Sarjapur  Road,1025.0,2,36.0,2,203
209,Electronic City,1108.0,2,63.0,2,77
210,others,3045.0,3,170.0,3,240
211,Vijayanagar,1500.0,3,75.5,3,230
212,Raja Rajeshwari Nagar,1295.0,2,43.9,2,193
213,Budigere,1162.0,2,59.9,2,55
214,Sarjapur  Road,1035.0,2,49.2,2,203
215,Attibele,1600.0,4,52.8,4,22
216,others,1464.0,3,46.0,3,240
217,Hennur Road,1866.0,2,61.58,3,99
218,others,700.0,1,26.0,2,240
219,Kalena Agrahara,1804.0,3,120.0,3,125
220,Sarjapur,913.0,2,32.0,2,202
221,Talaghattapura,1868.0,3,131.0,3,217
222,Kengeri Satellite Town,883.0,2,45.0,2,140
223,Kogilu,1664.0,2,73.95,3,146
224,Hegde Nagar,2026.0,3,132.0,3,97
225,Balagere,1210.0,2,80.9,2,28
226,others,4111.0,4,250.0,4,240
227,Kadugodi,1762.0,3,91.45,3,121
228,Jigani,1252.0,3,55.0,3,117
229,Gollarapalya Hosahalli,861.0,2,34.5,2,84
230,7th Phase JP Nagar,1420.0,2,100.0,3,7
231,Electronics City Phase 1,1490.0,3,78.8,3,79
232,Bisuvanahalli,1075.0,2,46.0,3,49
233,Old Madras Road,1425.0,2,94.0,3,183
234,Kalena Agrahara,1200.0,2,40.0,2,125
235,Kaggadasapura,1280.0,2,56.0,3,122
236,others,1084.0,2,50.0,2,240
237,Kanakpura Road,1017.0,2,51.25,2,131
238,Haralur Road,1027.0,2,44.0,2,93
239,Electronic City Phase II,1069.0,2,45.0,2,78
240,Hebbal,1349.0,2,98.2,2,95
241,9th Phase JP Nagar,1005.0,2,50.0,2,9
242,Jakkur,1417.0,2,75.0,2,114
243,TC Palaya,1475.0,3,98.0,3,216
244,others,950.0,2,47.0,2,240
245,others,2000.0,4,120.0,4,240
246,Sarjapur  Road,1863.0,3,104.0,4,203
247,Singasandra,1010.0,2,29.5,2,210
248,Kalena Agrahara,1425.0,2,70.0,3,125
249,Vijayanagar,1450.0,3,100.0,3,230
250,Kothanur,1847.0,3,105.0,3,150
251,AECS Layout,1100.0,2,45.0,2,10
252,Kanakpura Road,525.0,1,26.0,1,131
253,Mallasandra,1665.0,3,95.0,3,162
254,Begur,1664.0,4,65.0,4,41
255,JP Nagar,1850.0,3,150.0,3,113
256,Panathur,1438.0,2,100.0,2,186
257,others,1560.0,3,115.0,3,240
258,Yelahanka,1350.0,2,55.55,2,236
259,Kanakpura Road,1550.0,3,67.0,3,131
260,Malleshpalya,1140.0,2,46.5,2,163
261,others,850.0,2,27.0,2,240
262,Whitefield,1280.0,2,75.0,2,234
263,Munnekollal,1170.0,2,52.0,2,169
264,others,1113.0,2,51.0,2,240
265,Hennur Road,1385.0,2,83.09,2,99
266,Electronic City,1128.0,2,65.0,2,77
267,Haralur Road,1464.0,3,56.0,3,93
268,others,1200.0,2,55.0,2,240
269,Kaval Byrasandra,1200.0,2,52.0,2,137
270,Kaggalipura,1150.0,2,55.0,3,123
271,others,1645.0,3,95.0,3,240
272,Sarjapur  Road,1000.0,2,67.0,2,203
273,Haralur Road,2650.0,4,198.0,4,93
274,6th Phase JP Nagar,1192.0,2,74.0,2,6
275,Whitefield,1173.0,2,58.0,2,234
276,Uttarahalli,1020.0,2,45.0,2,225
277,Thigalarapalya,3122.0,6,230.0,4,219
278,Somasundara Palya,1600.0,3,64.0,3,211
279,others,1200.0,2,79.0,2,240
280,others,1230.0,2,48.0,2,240
281,Devarachikkanahalli,1250.0,2,40.0,2,69
282,Kalena Agrahara,1325.0,2,76.0,2,125
283,7th Phase JP Nagar,1850.0,3,150.0,3,7
284,Kanakpura Road,525.0,2,21.53,1,131
285,Basaveshwara Nagar,1200.0,2,65.0,2,39
286,Bommasandra,1260.0,3,49.36,3,51
287,others,1800.0,3,150.0,3,240
288,Ardendale,1100.0,2,43.25,2,20
289,Harlur,1508.0,2,77.0,2,94
290,others,1592.0,3,75.0,3,240
291,Akshaya Nagar,1388.0,2,57.0,2,12
292,Electronic City Phase II,630.0,1,28.35,1,78
293,others,1762.0,3,125.0,3,240
294,others,950.0,2,50.0,2,240
295,Magadi Road,1116.0,2,50.0,2,159
296,Narayanapura,1308.0,2,89.04,2,178
297,others,1200.0,3,90.0,3,240
298,Bannerghatta Road,500.0,1,18.5,1,37
299,Hennur,1075.0,2,52.0,2,98
300,Bellandur,1205.0,2,66.0,2,43
301,5th Phase JP Nagar,1075.0,2,60.0,2,5
302,KR Puram,930.0,2,39.0,2,119
303,Balagere,1380.0,2,60.0,2,28
304,Kodigehaali,1166.0,2,55.0,2,143
305,Bannerghatta Road,1050.0,2,65.0,2,37
306,Begur Road,1200.0,2,46.8,2,42
307,Lakshminarayana Pura,1600.0,2,108.0,3,157
308,Billekahalli,1935.0,3,110.0,3,47
309,8th Phase JP Nagar,451.0,1,29.9,1,8
310,Electronic City,1800.0,3,95.0,3,77
311,Jalahalli,1400.0,3,77.0,3,115
312,Hegde Nagar,1801.0,3,115.0,3,97
313,Mahadevpura,1451.0,2,90.0,2,160
314,Anekal,1200.0,1,36.0,2,18
315,Begur Road,1160.0,2,44.0,2,42
316,Kanakpura Road,950.0,2,40.0,2,131
317,others,1629.0,3,79.0,3,240
318,Vijayanagar,1826.0,3,121.0,3,230
319,7th Phase JP Nagar,1245.0,2,94.0,2,7
320,Raja Rajeshwari Nagar,1145.0,2,45.79,2,193
321,Sompura,825.0,2,33.0,2,212
322,Yeshwanthpur,1693.0,3,108.0,3,239
323,Electronics City Phase 1,1113.27,2,53.0,2,79
324,others,1460.0,2,58.0,2,240
325,Doddathoguru,1050.0,2,32.0,2,73
326,Dodda Nekkundi,1260.0,2,55.0,2,70
327,Hosur Road,1656.0,2,120.0,2,107
328,Chandapura,1208.0,3,45.0,3,58
329,Whitefield,3252.0,4,230.0,4,234
330,Battarahalli,1200.0,2,65.0,2,40
331,7th Phase JP Nagar,1175.0,2,82.0,2,7
332,others,1185.0,2,38.0,2,240
333,Kengeri,750.0,2,38.0,2,139
334,Kanakpura Road,1550.0,3,64.5,3,131
335,others,1760.0,3,88.0,3,240
336,Billekahalli,1125.0,2,62.0,2,47
337,Anandapura,1000.0,2,55.0,2,16
338,Bommasandra Industrial Area,1090.0,2,31.48,2,52
339,TC Palaya,1200.0,2,60.0,2,216
340,Budigere,1991.0,4,103.0,3,55
341,Ambalipura,1105.0,2,75.0,2,13
342,Hoodi,985.0,2,67.0,2,100
343,Balagere,1590.0,3,79.0,3,28
344,CV Raman Nagar,1120.0,2,55.0,2,56
345,others,1069.0,2,55.0,2,240
346,Marathahalli,1933.0,3,140.0,3,165
347,Hosur Road,1194.0,2,69.0,2,107
348,Brookefield,1150.0,2,69.0,2,54
349,Yelenahalli,1240.0,2,47.12,2,238
350,Raja Rajeshwari Nagar,1419.0,2,48.1,2,193
351,others,1450.0,3,55.0,3,240
352,others,1630.0,3,68.29,3,240
353,Dasanapura,708.0,1,40.0,2,66
354,Whitefield,11890.0,4,700.0,4,234
355,Bellandur,1250.0,2,76.0,2,43
356,7th Phase JP Nagar,1400.0,2,95.0,3,7
357,Sarjapur  Road,1670.0,2,57.0,3,203
358,Ardendale,1750.0,3,100.0,3,20
359,Vittasandra,1404.0,2,71.0,2,233
360,Hoodi,1715.0,2,95.0,3,100
361,Electronic City,630.0,1,34.65,1,77
362,Harlur,1752.12,3,135.0,3,94
363,Hulimavu,1650.0,3,78.0,3,108
364,Raja Rajeshwari Nagar,1295.0,2,55.47,2,193
365,Sarjapur  Road,1346.0,2,74.03,2,203
366,Hormavu,1150.0,2,55.0,2,103
367,AECS Layout,1620.0,3,98.0,3,10
368,Marathahalli,950.0,2,46.96,2,165
369,others,5000.0,9,360.0,11,240
370,Harlur,2450.0,3,120.0,3,94
371,Electronic City Phase II,1220.0,2,35.23,3,78
372,others,850.0,2,30.0,2,240
373,Padmanabhanagar,1020.0,2,63.0,2,184
374,Chikkalasandra,1100.0,2,50.0,2,62
375,Hebbal,1760.0,2,130.0,3,95
376,Ambalipura,1800.0,3,110.0,3,13
377,Akshaya Nagar,1070.0,2,54.0,2,12
378,Vidyaranyapura,1440.0,2,95.0,2,229
379,Amruthahalli,900.0,2,40.0,2,15
380,Whitefield,1130.0,2,42.16,2,234
381,Kodigehalli,1270.0,2,98.0,2,144
382,others,1200.0,2,62.0,2,240
383,others,4800.0,4,235.0,4,240
384,others,1200.0,2,74.0,2,240
385,Subramanyapura,929.0,2,50.17,2,214
386,others,1464.0,3,56.0,3,240
387,others,2000.0,4,99.0,4,240
388,Chikkalasandra,1208.0,2,49.0,2,62
389,Hebbal Kempapura,1130.0,2,60.0,2,96
390,others,1753.0,3,120.0,3,240
391,Old Madras Road,4500.0,7,337.0,5,183
392,Hoodi,1196.0,2,94.42,2,100
393,5th Phase JP Nagar,1150.0,3,52.5,2,5
394,Electronic City,1128.0,2,63.0,2,77
395,others,1000.0,2,53.0,2,240
396,Yelahanka,1035.0,2,45.0,2,236
397,Kereguddadahalli,950.0,2,32.0,2,141
398,Bisuvanahalli,1075.0,2,36.0,3,49
399,Whitefield,1040.0,2,48.5,2,234
400,others,720.0,2,45.0,2,240
401,Lingadheeranahalli,1511.0,3,95.0,3,158
402,others,1300.0,3,58.0,3,240
403,Hoodi,1545.0,3,68.75,3,100
404,Shampura,375.0,2,26.0,1,208
405,Vidyaranyapura,1062.0,2,38.0,2,229
406,others,1115.0,2,40.0,2,240
407,JP Nagar,1000.0,2,35.0,2,113
408,Kambipura,883.0,2,45.0,2,127
409,Sarjapur  Road,1195.0,2,70.0,2,203
410,others,700.0,1,41.0,1,240
411,Vittasandra,1246.0,2,67.0,2,233
412,others,1600.0,4,80.0,4,240
413,Haralur Road,2805.0,5,154.0,4,93
414,Begur Road,1584.0,3,65.0,3,42
415,Hosur Road,1175.0,2,48.0,3,107
416,others,1595.0,3,115.0,3,240
417,others,1353.0,2,110.0,2,240
418,Electronic City,1599.0,3,125.0,3,77
419,Whitefield,1150.0,2,70.0,2,234
420,KR Puram,1155.0,2,42.74,2,119
421,others,1200.0,2,85.0,1,240
422,Thanisandra,3000.0,4,120.0,4,218
423,Ramagondanahalli,1251.0,2,47.0,2,196
424,others,1028.0,2,45.5,2,240
425,Arekere,1222.0,2,45.0,2,21
426,Bannerghatta Road,1170.0,2,66.0,3,37
427,others,1385.0,2,48.48,3,240
428,HSR Layout,1372.0,2,68.0,2,92
429,Magadi Road,1282.0,2,49.0,3,159
430,Mico Layout,5000.0,9,210.0,9,168
431,Kanakpura Road,1135.0,2,39.73,2,131
432,Whitefield,1768.0,3,101.0,3,234
433,others,1325.0,2,90.0,3,240
434,Electronic City,1599.0,3,99.0,3,77
435,Whitefield,1500.0,3,61.95,3,234
436,Uttarahalli,1286.0,2,63.0,2,225
437,Kammanahalli,2845.0,5,140.0,5,128
438,others,1600.0,2,50.0,3,240
439,Hennur Road,1915.0,2,63.77,2,99
440,Hebbal,3450.0,5,260.0,3,95
441,Munnekollal,1102.0,2,53.67,2,169
442,Yelahanka,1350.0,2,54.0,2,236
443,Banashankari,1200.0,2,42.0,3,29
444,others,1800.0,1,80.0,2,240
445,Chikkabanavar,950.0,2,40.0,2,61
446,Kanakpura Road,525.0,1,27.25,1,131
447,Attibele,656.0,2,25.0,2,22
448,others,1056.0,2,80.0,2,240
449,Bannerghatta Road,595.0,1,33.32,1,37
450,others,1080.0,2,50.0,2,240
451,7th Phase JP Nagar,2225.0,3,160.0,3,7
452,Electronics City Phase 1,1490.0,3,84.0,3,79
453,Sarjapur  Road,1550.0,3,100.0,3,203
454,others,1600.0,3,86.0,3,240
455,others,1160.0,2,55.0,2,240
456,Whitefield,4144.0,4,315.0,4,234
457,Sarjapur  Road,2100.0,3,125.0,3,203
458,Vittasandra,1404.0,2,69.3,2,233
459,others,1544.0,3,120.0,3,240
460,Banashankari Stage III,1305.0,2,58.7,3,31
461,Marathahalli,1230.0,2,80.0,2,165
462,others,1200.0,2,65.0,2,240
463,Harlur,1460.0,3,73.0,3,94
464,Gottigere,967.0,2,45.0,2,85
465,others,540.0,1,36.0,1,240
466,Hormavu,715.0,1,46.0,1,103
467,Mysore Road,1020.0,2,48.95,2,171
468,Jigani,1020.0,2,40.0,2,117
469,Koramangala,1253.0,2,102.0,2,148
470,others,1180.0,2,42.0,2,240
471,Nehru Nagar,961.0,2,38.0,2,180
472,Kanakapura,1419.0,3,75.0,3,130
473,others,1600.0,2,115.0,2,240
474,others,416.0,1,18.5,1,240
475,HSR Layout,1430.0,2,65.0,3,92
476,others,1260.0,2,45.0,2,240
477,others,1630.0,3,85.0,3,240
478,Sarjapur  Road,1249.0,3,44.71,3,203
479,Kalena Agrahara,1450.0,2,85.0,3,125
480,Konanakunte,2791.0,3,223.0,3,147
481,others,834.0,1,60.0,1,240
482,others,1125.0,4,70.0,3,240
483,Arekere,2060.0,3,140.0,3,21
484,Raja Rajeshwari Nagar,1133.0,2,49.07,2,193
485,Bisuvanahalli,1075.0,2,37.0,3,49
486,Vidyaranyapura,1200.0,2,55.0,2,229
487,Thanisandra,1075.0,2,45.8,2,218
488,Kaggadasapura,1140.0,2,40.0,2,122
489,Raja Rajeshwari Nagar,1090.0,2,42.0,2,193
490,R.T. Nagar,1500.0,4,70.0,4,191
491,Whitefield,1790.0,3,100.0,3,234
492,Hebbal,1920.0,3,134.0,3,95
493,HRBR Layout,1374.0,2,95.0,2,91
494,Bannerghatta Road,1445.0,3,95.0,3,37
495,Kanakapura,711.0,1,36.0,1,130
496,Tumkur Road,1500.0,3,95.0,3,223
497,Whitefield,1720.0,3,100.0,3,234
498,Vasanthapura,1400.0,3,60.0,3,228
499,Kundalahalli,1030.0,2,49.0,2,154
500,Mysore Road,1200.0,2,85.0,2,171
501,others,1375.0,3,70.0,3,240
502,Hegde Nagar,1050.0,1,56.0,2,97
503,Jalahalli,2250.0,3,160.0,3,115
504,Bellandur,1000.0,2,50.0,2,43
505,others,469.0,1,25.0,1,240
506,Marathahalli,3800.0,4,250.0,4,165
507,Kambipura,883.0,2,29.0,2,127
508,GM Palaya,1820.0,2,86.0,3,81
509,Singasandra,1440.0,2,65.0,3,210
510,others,3600.0,4,160.0,6,240
511,Mahadevpura,1225.0,2,48.0,2,160
512,Chikkalasandra,875.0,2,52.8,2,62
513,Jalahalli East,750.0,1,40.0,1,116
514,6th Phase JP Nagar,1180.0,2,80.0,2,6
515,Haralur Road,1194.0,2,47.0,2,93
516,Hennur Road,1500.0,2,62.0,3,99
517,others,1160.0,2,52.2,2,240
518,Sarjapur,1128.0,2,60.0,2,202
519,others,1220.0,2,35.23,3,240
520,Sarjapur  Road,1210.0,2,58.0,2,203
521,Kanakpura Road,1100.0,2,58.0,3,131
522,Bommasandra,1200.0,3,46.0,3,51
523,Haralur Road,3385.0,5,260.0,4,93
524,others,1641.0,3,66.0,3,240
525,Horamavu Agara,1200.0,2,45.0,2,101
526,Raja Rajeshwari Nagar,1260.0,2,67.39,2,193
527,Mahadevpura,1720.0,3,78.0,3,160
528,Yelahanka,1692.5,2,48.13,2,236
529,Yelahanka,1210.0,2,45.98,2,236
530,Bisuvanahalli,1075.0,2,45.0,3,49
531,Thanisandra,1702.0,3,130.0,3,218
532,Raja Rajeshwari Nagar,1141.0,2,38.55,2,193
533,others,2072.0,3,108.0,3,240
534,JP Nagar,7720.0,2,375.0,5,113
535,others,1200.0,2,70.0,3,240
536,others,1350.0,3,77.0,3,240
537,others,5591.0,4,445.0,4,240
538,others,1180.0,2,78.34,3,240
539,others,600.0,1,50.0,1,240
540,Bannerghatta Road,1640.0,2,120.0,3,37
541,Kodichikkanahalli,1190.0,2,57.0,3,142
542,Marathahalli,1019.0,2,49.85,2,165
543,Akshaya Nagar,1250.0,3,40.0,3,12
544,Whitefield,1140.0,2,56.0,2,234
545,Lingadheeranahalli,1683.0,3,109.0,3,158
546,Kaggadasapura,1515.0,3,83.3,3,122
547,Hoodi,2118.0,4,111.0,4,100
548,Bannerghatta Road,1380.0,3,58.0,4,37
549,Varthur Road,1083.0,2,61.75,2,227
550,others,2300.0,3,120.0,3,240
551,others,1240.0,2,60.0,2,240
552,others,1750.0,3,120.0,3,240
553,others,1230.0,2,43.48,2,240
554,Abbigere,985.0,2,40.39,2,11
555,Tindlu,1500.0,2,87.0,3,222
556,Electronic City,1125.0,2,32.49,2,77
557,others,950.0,2,44.0,2,240
558,JP Nagar,7800.0,2,548.5,5,113
559,Kothanur,1580.0,3,76.0,3,150
560,Hennur Road,2264.0,3,159.0,3,99
561,Kammasandra,810.0,2,24.5,2,129
562,others,1045.0,2,45.0,2,240
563,Hebbal,1337.0,2,82.0,2,95
564,Begur Road,1500.0,2,54.0,3,42
565,Whitefield,1640.0,4,91.0,3,234
566,others,1570.0,3,62.0,3,240
567,Gubbalala,1470.0,2,82.0,3,87
568,Kengeri,1160.0,2,40.61,2,139
569,7th Phase JP Nagar,1050.0,2,71.0,2,7
570,Bannerghatta Road,1460.0,2,90.0,3,37
571,Hulimavu,1823.0,3,100.0,3,108
572,Electronic City,1094.0,2,42.0,2,77
573,Budigere,1153.0,2,57.0,2,55
574,others,1325.0,3,57.0,3,240
575,Parappana Agrahara,1200.0,3,85.0,4,187
576,Jakkur,1590.0,2,125.0,3,114
577,others,1202.0,2,48.0,2,240
578,Haralur Road,1202.0,2,53.0,2,93
579,others,1200.0,2,62.5,2,240
580,Panathur,1688.0,3,118.0,3,186
581,Kaval Byrasandra,1020.0,2,52.0,2,137
582,Sarjapur,1185.0,2,47.0,2,202
583,Ramagondanahalli,1235.0,2,52.04,2,196
584,Banashankari,1077.0,2,37.64,2,29
585,Kengeri Satellite Town,1415.0,2,66.0,3,140
586,EPIP Zone,2330.0,3,162.0,3,76
587,Whitefield,805.0,2,35.0,2,234
588,others,425.0,1,20.03,1,240
589,Whitefield,1155.0,2,59.95,2,234
590,Anekal,656.0,2,22.0,2,18
591,Mahadevpura,1150.0,2,52.0,2,160
592,Whitefield,2280.0,4,126.0,3,234
